기관별,설치년도,설치장소,속칭,기종,관할
영주,2014,문경시 가은읍 완장리 산75-1,대야산 등산로,밀착형,서부청
영주,2014,봉화군 물야면 오전리 산1,늦은목이 등산로,밀착형,서부청
영주,2014,봉화군 물야면 오전리 산1,박달령 등산로,밀착형,서부청
영주,2014,봉화군 춘양면 우구치리 산1-1,도래기재 임도,밀착형,서부청
영주,2014,봉화군 소천면 고선리 산37,구마동 임도,밀착형,서부청
영주,2014,봉화군 소천면 분천리 산199,다락재 임도,밀착형,서부청
울진,2015,울진군 금강송면 소광리 산11,대왕소나무,밀착형,서부청
울진,2015,울진군 원남면 갈면리 산14,고초령 삼거리,밀착형,서부청
울진,2015,울진군 온정면 조금리 산118,조금 임도입구,밀착형,서부청
울진,2015,울진군 온정면 온정리 산1-8,백암산 초소,밀착형,서부청
울진,2015,울진군 북면 덕구리 산58,응봉산 덕구 초소,밀착형,서부청
영주,2003,봉화군 춘양면 서벽리 산283-3,문수산,조망형,서부청
영주,2003,봉화군 소천면 현동리 산103,큰재,조망형,서부청
영주,2010,봉화군 석포면 대현리 산13-1,청옥산(열),조망형,서부청
영주,2010,봉화군 소천면 남회룡리 산51-1,장군봉,조망형,서부청
영주,2010,안동시 길안면 금곡리 산85-2,황학산,조망형,서부청
영주,2011,봉화군 석포면 석포리 138-24,석개재,조망형,서부청
영주,2011,봉화군 석포면 승부리 산477,승부역(열),조망형,서부청
영주,2011,문경시 농암면 궁기리 305,궁기마을,조망형,서부청
영주,2013,안동시 풍천면 어담리 산52-1,삼표당(열),조망형,서부청
영주,2013,예천군 상리면 백석리 산111,소백산,조망형,서부청
영주,2013,영주시 부석면 노곡리 산29-6,소백산,조망형,서부청
영덕,2000,영덕군 축산면 화천리 산118-1,국사당산,조망형,서부청
영덕,2000,영덕군 창수면 신기리 산180-1,형제봉,조망형,서부청
영덕,2004,영양군 석보면 삼의리 산37,맹동산,조망형,서부청
영덕,2004,영덕군 창수면 창수리 산10-6,독경산,조망형,서부청
영덕,2012,영양군 수비면 신원리 산23,울련산,조망형,서부청
영덕,2012,영양군 수비면 죽파리 산39-2,오십봉,조망형,서부청
구미,2011,김천시 남면 부상리 산78-1,단지봉(열),조망형,서부청
구미,2011,김천시 증산면 황점리 79,갈령(열),조망형,서부청
구미,2011,상주시 화북면 상오리 산20,금오산,조망형,서부청
구미,2012,김천시 증산면 수도리 산464,수도산(열),조망형,서부청
구미,2012,청도군 운문면 신원리 산29-6,지룡산(열),조망형,서부청
울진,2001,울진군 북면 두천리 산72-1,아구산,조망형,서부청
울진,2001,울진군 서면 왕피리 산1-1,천축산,조망형,서부청
울진,2003,울진군 서면 소광리 산157,진조산,조망형,서부청
울진,2003,울진군 서면 쌍전리 산150-1,통고산,조망형,서부청
울진,2011,울진군 서면 소광리 산29,삿갓재,조망형,서부청
울진,2011,울진군 기성면 이평리 산34,가재미산,조망형,서부청
울진,2013,울진군 서면 왕피리 산17,왕피산,조망형,서부청
울진,2013,울진둔 온정면 덕인리 산14,응봉산,조망형,서부청
양산,2012,울주군 상북면 이천리 산 130,간월산,조망형,서부청
양산,2012,김해시 한림면 금곡리 산 80-1,작약산,조망형,서부청
지방청,2000,강릉시 성산면 어흘리 산1-1,새 봉,조망형,동부청
지방청,2000,강릉시 왕산면 왕산리 산1,제왕산,조망형,동부청
강 릉,2000,강릉시 연곡면 삼산리 산1-1,전후재,조망형,동부청
강 릉,2000,강릉시 강동면 언별리 산274-1,만덕봉,조망형,동부청
강 릉,2012,강릉시 연곡면 진고개로2530-28,관리소,조망형,동부청
양 양,2006,양양군 서 면 서림리 산1-5,조침령,조망형,동부청
양 양,2006,양양군 현북면 면옥치리 산1-1,감투봉,조망형,동부청
양 양,2010,양양군 양양읍 연창리 107-2,청사옥상,조망형,동부청
평 창,2010,평창군 평창읍 고길리 산39,남병산,조망형,동부청
평 창,2010,평창군 대화면 신리 산410,백적산,조망형,동부청
영 월,2011,영월군 중동면 연상리 산118,망경대산,조망형,동부청
영 월,2011,영월군 한반도면 광전리 산152,다래산,조망형,동부청
영 월,2013,영월군 수주면 법흥리 산115,마장봉,조망형,동부청
영 월,2013,영월군 중동면 직동리 산 1-1,두위봉,조망형,동부청
정 선,2000,정선군 북평면 남평리 산22,남 산,조망형,동부청
정 선,2000,정선군 정선읍 회동리 산1,가리왕산,조망형,동부청
삼 척,2002,삼척시 노곡면 하월산리 산42,삿갓봉,조망형,동부청
삼 척,2002,삼척시 원덕읍 이천리 산322,사금산,조망형,동부청
태 백,2000,태백시 황지동 산176-1,함백산,조망형,동부청
태 백,2000,태백시 상사미동 산65-1,점동산,조망형,동부청
태 백,2011,태백시 황지동 59-143,관리소,조망형,동부청
태 백,2011,태백시 소도동 산78,활목재,조망형,동부청
태 백,2011,태백시 황지동 산173-1,대조산,조망형,동부청
태 백,2011,태백시 장성동 산1,돌구지,조망형,동부청
양 양,2014,양양군 서면 갈천리 산1-1,방태산,밀착형,동부청
평 창,2014,평창군 대화면 하안미리 산153번지,가리왕산,밀착형,동부청
평 창,2014,평창군 대관령면 횡계리 산1-1,대관령,밀착형,동부청
영 월,2014,영월군 수주면 두산리 산2번지,회봉산,밀착형,동부청
삼 척,2014,노곡면 상마읍리 산 104번지,사금산,밀착형,동부청
태 백,2014,태백시 통동 산67-1번지,백병산,밀착형,동부청
